tileswide 16
tileshigh 16
tilewidth 32
tileheight 32

图层 0
2,2,2,2,2,2,2,2,2,2,2,0,0,1,1,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,0,
2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,
2,2,0,1,0,0,2,2,2,2,0,1,0,0,0,2,
2,0,0,1,1,0,2,2,2,2,0,1,0,2,2,2,
2,2,2,1,1,0,2,2,2,2,2,2,0,2,2,2,
2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,
2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,
2,2,2,2,2,2,2,2,0,2,2,2,0,0,2,2,
2,2,2,2,2,2,2,0,0,0,2,2,0,0,2,2,
2,1,0,0,2,2,2,2,0,0,2,0,0,2,2,2,
2,0,1,2,2,2,2,2,0,0,0,0,0,2,2,2,
2,2,2,2,2,2,0,0,1,1,1,1,0,2,2,2,
2,2,2,0,0,0,1,1,1,1,1,1,0,2,2,2,
2,0,0,1,1,1,1,1,1,1,0,0,0,2,2,2,
2,0,0,1,0,0,0,0,0,0,2,2,2,2,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,

